Symbol	Bader_receptor	FANTOM5_receptor	CellTalk_receptor	Bader_ligand	FANTOM5_ligand	CellTalk_ligand
Sorl1	1	1	1	0	0	0
Nampt	0	0	0	1	1	0
Arf6	0	0	0	0	0	1
Bpifb3	0	0	0	1	0	0
Bpifb2	0	0	0	1	0	0
Bpifb1	0	0	0	1	0	0
Vmo1	0	0	0	1	0	0
Bpifb6	0	0	0	1	0	0
Tspan4	1	0	0	0	0	0
Bpifb4	0	0	0	1	0	0
Gng2	0	0	0	0	0	1
Tspan8	1	0	0	0	0	0
Pm20d1	0	0	0	1	0	0
Shank1	0	0	0	0	1	0
Scube2	0	0	0	1	0	0
Scube3	0	0	0	1	0	0
Olfr1053	1	0	0	0	0	0
Olfr1052	1	0	0	0	0	0
Olfr1054	1	0	0	0	0	0
Drd4	1	1	0	0	0	0
Drd5	1	0	0	0	0	0
Drd2	1	1	1	0	0	0
Drd3	1	0	1	0	0	0
Drd1	1	0	0	0	0	0
R3hdml	0	0	0	1	0	0
B2m	0	0	0	1	1	0
Ctrb1	0	0	0	1	0	0
Gpx5	0	0	0	1	0	0
Ngfr	1	1	1	0	0	0
Gpx7	0	0	0	1	0	0
Gpx6	0	0	0	1	0	0
Gm11127	1	1	0	0	0	0
Inha	0	0	0	1	1	1
Olfr1263	1	0	0	0	0	0
Avpr1a	1	1	1	0	0	0
Olfr978	1	0	0	0	0	0
Olfr979	1	0	0	0	0	0
Glg1	0	0	0	1	0	0
Lamc1	0	0	0	1	1	0
Dag1	1	0	0	0	0	0
Myadm	1	0	0	0	0	0
Cuta	0	0	0	1	0	0
Col10a1	0	0	0	1	0	0
Sost	0	0	0	1	1	1
Acvr1	1	1	1	0	0	0
Kcnj15	0	1	1	0	0	0
Il31ra	1	1	1	0	0	0
Unc5b	0	1	1	0	0	0
Unc5c	1	1	1	0	0	0
Unc5a	1	1	1	0	0	0
Unc5d	0	1	1	0	0	0
Nid2	0	0	0	1	1	1
Nid1	0	0	0	1	1	0
Tspan1	0	1	0	0	0	0
Gc	0	0	0	1	0	1
Apoc3	0	0	0	0	0	1
Apoc1	0	0	0	0	0	1
Gh	0	0	0	1	1	1
Pradc1	0	0	0	1	0	0
Ly6g6c	0	1	0	0	0	0
Oaf	0	0	0	1	0	0
Olfr1352	1	0	0	0	0	0
Sstr3	1	1	1	0	0	0
Sstr2	1	1	1	0	0	0
Sstr5	1	1	1	0	0	0
Sstr4	1	1	1	0	0	0
Slc18a3	0	1	0	0	0	0
Slc18a2	0	1	0	0	0	0
Agtrap	1	0	0	0	0	1
Tmed1	1	0	0	0	0	0
Olfr1356	1	0	0	0	0	0
Cspg5	1	0	0	0	0	0
Olfr1357	1	0	0	0	0	0
Scpep1	0	0	0	1	0	0
Mmd	1	0	0	0	0	0
Ccl21b	0	0	0	1	1	1
Adcy7	0	1	0	0	0	0
Adcy1	0	1	0	0	0	0
Adcy8	0	1	1	0	0	0
Adcy9	0	1	0	0	0	0
Ifnl3	0	0	0	1	1	0
Cpz	0	0	0	1	0	0
Col13a1	0	1	1	0	0	0
Sorbs1	0	0	0	0	1	0
Cpq	0	0	0	1	0	0
Lama1	0	0	0	1	1	1
Lama2	0	0	0	1	1	1
Lama3	0	0	0	1	1	1
Lama4	0	0	0	1	1	1
